lon,lat,pop
129.3228,35.53646,3631
129.32862,35.54989,615
129.30035,35.51877,27
129.29995,35.50074,0
129.31658,35.505,87
129.30005,35.50525,0
129.27338,35.54621,40
129.33342,35.51827,1520
129.32301,35.54547,3863
129.31729,35.53654,5065
129.29474,35.51434,2584
129.37719,35.50407,390
129.29504,35.52786,636
129.28933,35.51893,0
129.26777,35.54179,277
129.25143,35.55104,4275
129.35598,35.54046,25
129.33955,35.54522,5043
129.35047,35.54054,937
129.31117,35.50959,1982
129.29544,35.54588,0
129.33934,35.53621,1762
129.29524,35.53687,5183
129.35609,35.54497,150
129.31627,35.49148,0
129.30616,35.5322,4963
129.2784,35.5236,0
129.25133,35.54653,1899
129.28943,35.52344,16
129.29985,35.49623,11
129.3773,35.50858,0
129.3229,35.54096,4121
129.3827,35.50399,248
129.31107,35.50508,656
129.35484,35.49089,0
129.28441,35.54605,1495
129.26246,35.55088,53
129.28381,35.51901,15
129.35057,35.54505,4924
129.25113,35.53752,1710
129.36534,35.46819,6
129.25694,35.55096,7197
129.36649,35.51776,0
129.29534,35.54138,2280
129.30025,35.51426,25
129.26216,35.53736,1970
129.37179,35.50866,60
129.33914,35.5272,160
129.33924,35.5317,356
129.31198,35.54564,5141
129.34506,35.54513,4536
129.28451,35.55055,318
129.27309,35.53269,8
129.30065,35.53228,1958
129.34434,35.51359,0
129.36139,35.53587,0
129.2787,35.53712,0
129.33883,35.51368,993
129.26807,35.5553,109
129.27348,35.55072,4090
129.35037,35.53604,2066
129.33414,35.54981,144
129.33893,35.51818,1411
129.31157,35.52761,1537
129.24572,35.54211,0
129.30075,35.53679,5714
129.26226,35.54187,4665
129.33352,35.52277,4225
129.28431,35.54154,10
129.34351,35.47755,6
129.30546,35.50066,37
129.3774,35.51308,10
129.35578,35.53145,0
129.34444,35.5181,7
129.31178,35.53662,2664
129.30055,35.52778,1627
129.28391,35.52352,0
129.32852,35.54539,1538
129.37168,35.50416,158
129.34403,35.50008,0
129.28963,35.53245,2171
129.28411,35.53253,636
129.38281,35.50849,0
129.30586,35.51868,33
129.30015,35.50975,0
129.29514,35.53237,4698
129.26787,35.54629,610
129.31648,35.50049,0
129.30657,35.55023,1013
129.33403,35.5453,7207
129.34465,35.52711,71
129.33393,35.5408,5076
129.36617,35.50424,24
129.31739,35.54105,1511
129.33332,35.51376,822
129.31749,35.54555,5265
129.279,35.55064,1505
129.30626,35.53671,6430
129.30637,35.54121,4177
129.33321,35.50926,0
129.28993,35.54597,34
129.30647,35.54572,6232
129.29484,35.51885,592
129.33373,35.53179,4110
129.3226,35.52745,6414
129.29464,35.50984,0
129.33383,35.53629,2055
129.32832,35.53637,3325
129.33965,35.54973,923
129.34496,35.54063,1392
129.34475,35.53162,856
129.35016,35.52703,0
129.31678,35.51401,1860
129.34454,35.52261,149
129.32239,35.51843,267
129.33362,35.52728,4771
129.2788,35.54162,0
129.31698,35.52302,10533
129.3277,35.50934,9
129.28421,35.53704,1298
129.25675,35.54195,1688
129.31719,35.53204,5939
129.35443,35.47287,0
129.32821,35.53187,6635
129.31208,35.55014,2435
129.32811,35.52736,5349
129.33903,35.52269,696
