origin,dest,trips
3101440,3101440,6
3101446,3101446,4
3103884,3101002,3
3101267,3101267,3
3103811,3103811,3
3101442,3101441,2
3101446,3100439,2
3100998,3101480,2
3101002,3101436,2
3101483,3101482,2
3101445,3101445,2
3100304,3101007,2
3101267,3101482,2
3101480,3100144,1
3102956,3101267,1
3101485,3101485,1
3100426,3100426,1
3100144,3100144,1
3100462,3100462,1
3101439,3101463,1
3103809,3101002,1
3101441,3101441,1
3101262,3101262,1
3100814,3101005,1
3100144,3101441,1
3101445,3101440,1
3101443,3101443,1
3103809,3101267,1
3101482,3101440,1
3102956,3102956,1
3101261,3101485,1
3103809,3100999,1
3100813,3100813,1
3101442,3101440,1
3100489,3101007,1
3100426,3101007,1
3100999,3101436,1
3101446,3101440,1
3100813,3101005,1
3101486,3101483,1
3101488,3101002,1
3101489,3101002,1
3100253,3100253,1
3101440,3100166,1
