origin,dest,trips
시외고속버스터미널.서울삼성정형외과의원,공업탑,268
공업탑,신복교차로,208
우정시장,번영로입구,176
춘해보건대학교,우신고등학교입구,153
종갓집도서관.함월고,태화시장.우정선경2차,148
태화강역,시외고속버스터미널.서울삼성정형외과의원,137
태화시장.우정선경2차,종갓집도서관.함월고,126
법원,신복교차로,115
문화의거리,태화시장.우정선경2차,114
울산대학교,대복입구울산예고,109
평창리비에르3차,농심메가마트,101
우정시장,시계탑사거리,98
종갓집도서관.함월고,축산농협,96
대동아파트,농소2동행정복지센터,89
국토정보공사,번영로입구,89
태화시장.우정선경2차,번영로입구,86
공업탑,신정시장,81
S-oil정문,공업탑,79
좋은의사들안과병원,공업탑,78
태화루,태화동,78
옥교동,병영사거리,76
경찰청,우정선경아파트,76
유곡중학교,태화시장.우정선경2차,74
옥교동,학성공원,73
수암시장,공업탑,73
시외고속버스터미널.서울삼성정형외과의원,롯데마트,72
번영로입구,국토정보공사,72
선암호수노인복지관,우주그린아파트,70
종갓집도서관.함월고,우정시장,70
현대백화점사거리,공업탑,69
공업탑,시외고속버스터미널,69
옥동행정복지센터.울산대공원정문,신복교차로,67
시외고속버스터미널,태화강역,67
강남초등학교,공업탑,67
평창리비에르,북구청남문,67
온산읍행정복지센터,공업탑,67
야음시장,공업탑,66
태화시장.우정선경2차,성남프라자,66
홈플러스중구점,태화시장.우정선경2차,66
신정시장,공업탑,63
신천,농소공영차고지,62
옥동행정복지센터.울산대공원정문,공업탑,59
국토정보공사,우정선경아파트,58
천곡우방아파트,농소2동행정복지센터,58
다운아파트,삼호교,57
번영사거리,공업탑,57
농소공영차고지,농소1동행정복지센터,56
공업탑,온산읍행정복지센터,56
국토정보공사,우정시장,56
쌍용아진그린타운2차,농소2동행정복지센터,56
평창리비에르아파트,시외고속버스터미널.서울삼성정형외과의원,53
농소1동행정복지센터,신천,53
농수산물시장,현대백화점,53
농소1동행정복지센터,농소공영차고지,52
극동스타클래스,시청앞,52
중앙중학교,공업탑,50
공업탑,시청앞,50
매곡휴먼시아,농소2동행정복지센터,50
농협중앙회,경동청구,50
옥교동,학성공원,50
