stop_id,stop_name,lon,lat,utmk_x,utmk_y,cell_100,cell_1000,zone
40117,(구)세인고등학교,129.3256283,35.46724558,1165648.31,1720577.38,100_1165600_1720500,1000_1165000_1720000,울산광역시 울주군
40118,(구)세인고등학교,129.3247411,35.46749904,1165567.28,1720604.01,100_1165500_1720600,1000_1165000_1720000,울산광역시 울주군
30455,(주)SLT,129.1456345,35.56458241,1149134.83,1731086.87,100_1149100_1731000,1000_1149000_1731000,울산광역시 울주군
40121,(주)TCT제2공장,129.333938,35.46128879,1166414.65,1719930.61,100_1166400_1719900,1000_1166000_1719000,울산광역시 울주군
40122,(주)TCT제2공장,129.3341578,35.46103197,1166435.13,1719902.5,100_1166400_1719900,1000_1166000_1719000,울산광역시 울주군
30453,(주)동영코엘스,129.1446301,35.56120824,1149050.05,1730711.08,100_1149000_1730700,1000_1149000_1730000,울산광역시 울주군
30451,(주)로파,129.1511169,35.55697115,1149645.86,1730250.94,100_1149600_1730200,1000_1149000_1730000,울산광역시 울주군
15880,(주)일성,129.3380171,35.42262518,1166864.65,1715648.81,100_1166800_1715600,1000_1166000_1715000,울산광역시 울주군
15879,(주)일성,129.3382505,35.42247289,1166886.15,1715632.31,100_1166800_1715600,1000_1166000_1715000,울산광역시 울주군
30457,(주)탑아이엔디,129.1535549,35.56064753,1149860.0,1730662.43,100_1149800_1730600,1000_1149000_1730000,울산광역시 울주군
15886,(주)티씨티,129.3416182,35.41088471,1167215.88,1714352.61,100_1167200_1714300,1000_1167000_1714000,울산광역시 울주군
15885,(주)티씨티,129.3417415,35.4110373,1167226.76,1714369.74,100_1167200_1714300,1000_1167000_1714000,울산광역시 울주군
66419,23-6번지,129.0825252,35.50958869,1143513.04,1724893.23,100_1143500_1724800,1000_1143000_1724000,울산광역시 울주군
63112,E편한세상,129.3032133,35.55873925,1163428.67,1730688.8,100_1163400_1730600,1000_1163000_1730000,울산광역시 중구
63110,E편한세상,129.3040535,35.55896637,1163504.36,1730715.39,100_1163500_1730700,1000_1163000_1730000,울산광역시 중구
23543,FCC삼거리,129.3576973,35.4904568,1168509.96,1723206.36,100_1168500_1723200,1000_1168000_1723000,울산광역시 남구
23544,FCC삼거리,129.3575246,35.49049936,1168494.2,1723210.79,100_1168400_1723200,1000_1168000_1723000,울산광역시 남구
57178,"GS마트,부산카톨릭대",129.0929175,35.24056975,1144935.95,1695069.54,100_1144900_1695000,1000_1144000_1695000,부산광역시
59166,GS물류센터,129.0450952,35.3296283,1140430.43,1704878.69,100_1140400_1704800,1000_1140000_1704000,양산시
59167,GS물류센터,129.0453744,35.32976155,1140455.58,1704893.87,100_1140400_1704800,1000_1140000_1704000,양산시
72102,G마트,129.3110363,35.57749876,1164099.49,1732782.71,100_1164000_1732700,1000_1164000_1732000,울산광역시 중구
72103,G마트,129.310879,35.57748997,1164085.25,1732781.47,100_1164000_1732700,1000_1164000_1732000,울산광역시 중구
40523,KBS방송국앞,129.3250739,35.54373298,1165440.99,1729060.74,100_1165400_1729000,1000_1165000_1729000,울산광역시 남구
40524,KBS방송국앞/울산병원,129.3251689,35.54475218,1165447.51,1729173.95,100_1165400_1729100,1000_1165000_1729000,울산광역시 남구
30363,KCC산업단지입구,129.1952932,35.70345142,1153369.93,1746567.06,100_1153300_1746500,1000_1153000_1746000,울산광역시 울주군
11411,KCC스위첸,129.3399541,35.58119489,1166712.38,1733241.3,100_1166700_1733200,1000_1166000_1733000,울산광역시 중구
11410,KCC스위첸,129.34016,35.58104144,1166731.36,1733224.62,100_1166700_1733200,1000_1166000_1733000,울산광역시 중구
24249,KCC울산공장,129.3979877,35.51882729,1172104.53,1726422.94,100_1172100_1726400,1000_1172000_1726000,울산광역시 동구
24250,KCC울산공장,129.3977711,35.51872328,1172085.11,1726411.03,100_1172000_1726400,1000_1172000_1726000,울산광역시 동구
11713,KCC인테리어,129.3233746,35.57938178,1165213.72,1733012.22,100_1165200_1733000,1000_1165000_1733000,울산광역시 중구
11712,KCC인테리어,129.3232384,35.57946166,1165201.22,1733020.85,100_1165200_1733000,1000_1165000_1733000,울산광역시 중구
15852,KG케미칼,129.3514905,35.4327474,1168066.93,1716794.43,100_1168000_1716700,1000_1168000_1716000,울산광역시 울주군
15851,KG케미칼,129.3512224,35.4323129,1168043.5,1716745.78,100_1168000_1716700,1000_1168000_1716000,울산광역시 울주군
15413,"KTX울산역(3000, 3100)",129.1388408,35.55064862,1148544.81,1729531.05,100_1148500_1729500,1000_1148000_1729000,울산광역시 울주군
15860,LG온산공장,129.3332721,35.42817934,1166422.39,1716256.89,100_1166400_1716200,1000_1166000_1716000,울산광역시 울주군
15859,LG온산공장,129.3330496,35.42838638,1166401.76,1716279.48,100_1166400_1716200,1000_1166000_1716000,울산광역시 울주군
25702,LG진로아파트,129.3660891,35.5858688,1169070.83,1733804.34,100_1169000_1733800,1000_1169000_1733000,울산광역시 북구
25701,LG진로아파트,129.3658864,35.5856997,1169052.82,1733785.23,100_1169000_1733700,1000_1169000_1733000,울산광역시 북구
30963,"LH2단지,호반베르디움",129.2927472,35.55956058,1162478.34,1730762.59,100_1162400_1730700,1000_1162000_1730000,울산광역시 중구
30962,"LH2단지,호반베르디움",129.2929674,35.56054311,1162496.32,1730871.94,100_1162400_1730800,1000_1162000_1730000,울산광역시 중구
30964,"LH2단지,호반베르디움",129.2924236,35.56097153,1162446.17,1730918.57,100_1162400_1730900,1000_1162000_1730000,울산광역시 중구
77708,LS사택,129.3129686,35.43064821,1164574.03,1716496.73,100_1164500_1716400,1000_1164000_1716000,울산광역시 울주군
77709,LS사택,129.3127653,35.43059678,1164555.68,1716490.68,100_1164500_1716400,1000_1164000_1716000,울산광역시 울주군
22319,LX하우시스,129.2914939,35.45414161,1162577.17,1719067.11,100_1162500_1719000,1000_1162000_1719000,울산광역시 울주군
22318,LX하우시스,129.2913745,35.45402477,1162566.57,1719053.95,100_1162500_1719000,1000_1162000_1719000,울산광역시 울주군
11506,MBC앞,129.33224,35.56033316,1166056.41,1730914.17,100_1166000_1730900,1000_1166000_1730000,울산광역시 중구
15865,S-oil동문입구,129.3503702,35.44257172,1167944.81,1717882.27,100_1167900_1717800,1000_1167000_1717000,울산광역시 울주군
15866,S-oil동문입구,129.3506392,35.44259239,1167969.19,1717885.02,100_1167900_1717800,1000_1167000_1717000,울산광역시 울주군
40127,S-oil정문,129.3343787,35.44659771,1166484.92,1718301.77,100_1166400_1718300,1000_1166000_1718000,울산광역시 울주군
40128,S-oil정문,129.3350335,35.44639356,1166544.78,1718280.23,100_1166500_1718200,1000_1166000_1718000,울산광역시 울주군
15832,S-oil후문,129.3461066,35.45011306,1167542.16,1718711.54,100_1167500_1718700,1000_1167000_1718000,울산광역시 울주군
15831,S-oil후문,129.3458341,35.45013277,1167517.38,1718713.27,100_1167500_1718700,1000_1167000_1718000,울산광역시 울주군
25912,SJG세종,129.3675712,35.56945026,1169239.68,1731985.64,100_1169200_1731900,1000_1169000_1731000,울산광역시 북구
25911,SJG세종,129.3673599,35.56943639,1169220.56,1731983.74,100_1169200_1731900,1000_1169000_1731000,울산광역시 북구
23537,SKC앞,129.3618441,35.49229305,1168882.31,1723417.14,100_1168800_1723400,1000_1168000_1723000,울산광역시 남구
23538,SKC앞,129.3617827,35.4921701,1168877.0,1723403.4,100_1168800_1723400,1000_1168000_1723000,울산광역시 남구
40358,SK공장앞,129.3106032,35.50275342,1164212.59,1724490.92,100_1164200_1724400,1000_1164000_1724000,울산광역시 남구
40357,SK공장앞,129.3116985,35.50282867,1164311.78,1724501.09,100_1164300_1724500,1000_1164000_1724000,울산광역시 남구
74501,SK스포츠센터앞,129.3302279,35.52276706,1165951.44,1726743.77,100_1165900_1726700,1000_1165000_1726000,울산광역시 남구
74502,SK스포츠센터앞,129.3302808,35.52290069,1165955.96,1726758.68,100_1165900_1726700,1000_1165000_1726000,울산광역시 남구
23532,SK에너지앞,129.3809381,35.49363454,1170611.63,1723598.8,100_1170600_1723500,1000_1170000_1723000,울산광역시 남구
