opr_ymd,sttn_id,sttn_nm,sttn_ars_no,ctpv_cd,sgg_cd,emd_cd,ctpv_nm,sgg_nm,emd_nm
20260407,3100073,우정동행정복지센터입구,~,31,31110,3111010800,울산광역시,중구,우정동
20260407,3100074,우정동행정복지센터입구,~,31,31110,3111010800,울산광역시,중구,우정동
20260407,3100075,약사동행정복지센터앞,~,31,31110,3111011700,울산광역시,중구,약사동
20260407,3100076,약사동행정복지센터앞,~,31,31110,3111011700,울산광역시,중구,약사동
20260407,3100084,병영1동행정복지센터,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100087,반구1동행정복지센터앞,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100088,반구1동행정복지센터앞,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100093,다운동행정복지센터앞,~,31,31110,3111011200,울산광역시,중구,다운동
20260407,3100094,다운동행정복지센터앞,~,31,31110,3111011200,울산광역시,중구,다운동
20260407,3100104,푸르지오2차아파트,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100171,중앙전통시장,~,31,31110,3111010500,울산광역시,중구,옥교동
20260407,3100172,중부경찰서,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100181,삼일아파트,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100182,삼일아파트,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100188,남외중학교,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100189,남외중학교,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100195,현대자동차,~,31,31110,3111010200,울산광역시,중구,학산동
20260407,3100204,말미,~,31,31110,3111011200,울산광역시,중구,다운동
20260407,3100205,말미,~,31,31110,3111011200,울산광역시,중구,다운동
20260407,3100206,다운교,~,31,31110,3111011200,울산광역시,중구,다운동
20260407,3100207,다운교,~,31,31110,3111011200,울산광역시,중구,다운동
20260407,3100212,백양초등학교,~,31,31110,3111010900,울산광역시,중구,성안동
20260407,3100213,백양초등학교,~,31,31110,3111010900,울산광역시,중구,성안동
20260407,3100271,선거관리위원회,~,31,31110,3111010100,울산광역시,중구,학성동
20260407,3100272,선거관리위원회,~,31,31110,3111010100,울산광역시,중구,학성동
20260407,3100273,한라그랜드아파트,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100274,한라그랜드아파트,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100275,푸르지오아파트,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100276,푸르지오아파트,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100277,종합운동장서문입구,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100278,종합운동장서문입구,~,31,31110,3111011500,울산광역시,중구,남외동
20260407,3100279,웅진빌라,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100280,웅진빌라,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100281,용연암,~,31,31110,3111011800,울산광역시,중구,반구동
20260407,3100282,용연암,~,31,31110,3111011800,울산광역시,중구,반구동
