opr_ymd,ctpv_cd,sgg_cd,rte_id,rte_no,rte_nm,dptre_sttn_id,dptre_sttn_nm,arvl_sttn_id,arvl_sttn_nm
20260407,31,31000,31065033,울주03-3(65033),작천정다목적광장-후리,3103823,작천정다목적광장,3101824,후리
20260407,31,31000,31001182,118-2,우정동행정복지센-꽃바위,3100074,우정동행정복지센터입구,3100440,꽃바위
20260407,31,31000,31003182,318-2,성안고가하부도로-삼남신화,3103485,성안고가하부도로,3102590,삼남신화
20260407,31,31000,31003581,358-1,성안고가하부도로-삼남신화,3103485,성안고가하부도로,3102590,삼남신화
20260407,31,31000,31000512,51-2,서희스타힐스아파-우주아파트,3103838,서희스타힐스아파트,3102503,우주아파트
20260407,31,31000,31064522,울주52-2(65522),서희스타힐스아파-우주아파트,3103838,서희스타힐스아파트,3102503,우주아파트
20260407,31,31000,31065522,울주52-2,서희스타힐스아파-우주아파트,3103838,서희스타힐스아파트,3102503,우주아파트
20260407,31,31000,31000522,52-2,서희스타힐스아파-온남초등학교,3103838,서희스타힐스아파트,3103858,온남초등학교
20260407,31,31000,31064532,울주53-2(65532),서희스타힐스아파-온남초등학교,3103838,서희스타힐스아파트,3103858,온남초등학교
20260407,31,31000,31065532,울주53-2,서희스타힐스아파-온남초등학교,3103838,서희스타힐스아파트,3103858,온남초등학교
20260407,31,31000,31000603,60-3,하북면행정복지센-상방마을종점,3102303,하북면행정복지센터우체국,3102833,상방마을종점
20260407,31,31000,31064613,울주61-3(65613),하북면행정복지센-상방마을종점,3102303,하북면행정복지센터우체국,3102833,상방마을종점
20260407,31,31000,31065613,울주61-3,하북면행정복지센-상방마을종점,3102303,하북면행정복지센터우체국,3102833,상방마을종점
20260407,31,31000,31009101,910-1,농수산물종합유통-현대백화점정문,3100018,농수산물종합유통센터정문,3100515,현대백화점정문
20260407,31,31000,31009161,916-1,농수산물종합유통-현대백화점정문,3100018,농수산물종합유통센터정문,3100515,현대백화점정문
20260407,31,31000,31061011,중구01-1(61011),농수산물종합유통-현대백화점정문,3100018,농수산물종합유통센터정문,3100515,현대백화점정문
20260407,31,31000,31061041,중구04-1(61041),농수산물종합유통-현대백화점정문,3100018,농수산물종합유통센터정문,3100515,현대백화점정문
20260407,31,31000,31002131,213-1,서사시티프라디움-농소공영차고지,3104308,서사시티프라디움,3102798,농소공영차고지
20260407,31,31000,31000521,52-1,서희스타힐스아파-온산중고등학교,3103838,서희스타힐스아파트,3102507,온산중고등학교
