환승거점,구분,항목(노선/목적지구),유형,인원,순위
공업탑,도착(환승직전) 노선,215,일반,44,1
공업탑,도착(환승직전) 노선,134,일반,44,2
공업탑,도착(환승직전) 노선,115,일반,35,3
공업탑,도착(환승직전) 노선,432,일반,23,4
공업탑,도착(환승직전) 노선,428,일반,21,5
공업탑,도착(환승직전) 노선,734,일반,20,6
공업탑,도착(환승직전) 노선,246,일반,19,7
공업탑,도착(환승직전) 노선,513,일반,17,8
공업탑,도착(환승직전) 노선,735,일반,17,9
공업탑,도착(환승직전) 노선,124,일반,17,10
공업탑,환승후 출발 노선,134,일반,204,1
공업탑,환승후 출발 노선,115,일반,157,2
공업탑,환승후 출발 노선,215,일반,155,3
공업탑,환승후 출발 노선,124,일반,132,4
공업탑,환승후 출발 노선,735,일반,121,5
공업탑,환승후 출발 노선,725,일반,110,6
공업탑,환승후 출발 노선,432,일반,102,7
공업탑,환승후 출발 노선,753,일반,86,8
공업탑,환승후 출발 노선,482,일반,84,9
공업탑,환승후 출발 노선,246,일반,80,10
공업탑,환승후 목적지 구,남구,,1858,1
공업탑,환승후 목적지 구,울주군,,450,2
공업탑,환승후 목적지 구,중구,,159,3
공업탑,환승후 목적지 구,동구,,100,4
공업탑,환승후 목적지 구,북구,,75,5
공업탑,환승후 목적지 구,기타,,39,6
신복로터리,도착(환승직전) 노선,134,일반,42,1
신복로터리,도착(환승직전) 노선,734,일반,28,2
신복로터리,도착(환승직전) 노선,남구51(62510),마을,27,3
신복로터리,도착(환승직전) 노선,124,일반,27,4
신복로터리,도착(환승직전) 노선,428,일반,22,5
신복로터리,도착(환승직전) 노선,432,일반,22,6
신복로터리,도착(환승직전) 노선,114,일반,21,7
신복로터리,도착(환승직전) 노선,482,일반,21,8
신복로터리,도착(환승직전) 노선,714,일반,17,9
신복로터리,도착(환승직전) 노선,724,일반,14,10
신복로터리,환승후 출발 노선,134,일반,94,1
신복로터리,환승후 출발 노선,남구51(62510),마을,93,2
신복로터리,환승후 출발 노선,1224,좌석,88,3
신복로터리,환승후 출발 노선,114,일반,74,4
신복로터리,환승후 출발 노선,124,일반,70,5
신복로터리,환승후 출발 노선,울주09(65090),지선,67,6
신복로터리,환승후 출발 노선,422,일반,52,7
신복로터리,환승후 출발 노선,753,일반,47,8
신복로터리,환승후 출발 노선,734,일반,45,9
